date,totalChallan,disposedChallan,pendingChallan,pendingAmount,disposedAmount,totalAmount,pendingCourt,disposedCourt,totalCourt
2020-12-10,109781,55258,54523,70460410,73544546,144004956,25427,8563,33990
2020-12-11,103282,52230,51052,67155271,70115828,137271099,25186,8374,33560
2020-12-12,75497,39795,35702,54865113,72769215,127634328,22198,7581,29779
2020-12-13,70696,36046,34650,51475882,47383196,98859078,23450,7698,31148
2020-12-14,104989,53237,51752,63777765,63694297,127472062,26148,8315,34463
2020-12-15,108586,57253,51333,63969794,71702750,135672544,22827,7913,30740
2020-12-16,107096,55409,51687,68877712,72801697,141679409,26495,8516,35011
2020-12-17,106763,55791,50972,67560706,75209276,142769982,24211,8088,32299
2020-12-18,112334,57499,54835,74705365,77563431,152268796,26710,8805,35515
2020-12-19,116092,59654,56438,69896245,79677168,149573413,26919,8989,35908
2020-12-20,106099,52659,53440,61009187,63871401,124880588,24669,7588,32257
2020-12-21,111447,59228,52219,74243809,74731244,148975053,26412,8578,34990
2020-12-22,117894,62092,55802,79846768,85555130,165401898,25655,9000,34655
2020-12-23,115322,60511,54811,73927457,86747653,160675110,21120,8505,29625
2020-12-24,117871,61232,56639,74774981,77287086,152062067,15579,8788,24367
2020-12-25,106254,54763,51491,63562231,63720109,127282340,23823,8034,31857
2020-12-26,117988,62472,55516,63505503,69480792,132986295,26880,8962,35842
2020-12-27,103830,51965,51865,62553421,52115933,114669354,25487,7337,32824
2020-12-28,107341,56350,50991,65276688,69075368,134352056,25633,8568,34201
2020-12-29,113621,58996,54625,72102262,75008763,147111025,27575,8889,36464
2020-12-30,113563,58336,55227,73726300,66705357,140431657,27937,8853,36790
2020-12-31,106056,53637,52419,69900465,62335377,132235842,26810,8610,35420
2021-01-01,78633,39445,39188,46483380,44075346,90558726,22604,7868,30472
2021-01-02,112216,61166,51050,60235429,63031674,123267103,26076,10216,36292
2021-01-03,90811,48750,42061,43540839,46328770,89869609,18686,7229,25915
2021-01-04,106092,59440,46652,57581087,68273571,125854658,22684,9242,31926
2021-01-05,105653,55620,50033,61921782,80345813,142267595,24115,9274,33389
2021-01-06,108392,60140,48252,64550447,83660141,148210588,23966,7951,31917
2021-01-07,115399,63964,51435,65771272,82767638,148538910,23760,9901,33661
2021-01-08,115614,64062,51552,61312534,80516104,141828638,23123,10299,33422
2021-01-09,116432,63687,52745,60350812,77790872,138141684,23606,10301,33907
2021-01-10,105811,56133,49678,55849421,60177868,116027289,22658,9033,31691
2021-01-11,115165,64012,51153,61429246,79265360,140694606,22361,10563,32924
2021-01-12,111458,61964,49494,70459713,86118776,156578489,24759,10569,35328
2021-01-13,106066,59100,46966,67694191,81603579,149297770,24951,10673,35624
2021-01-14,87857,45575,42282,58779010,68875042,127654052,23244,9036,32280
2021-01-15,97804,50042,47762,62659234,67699744,130358978,25364,10009,35373
2021-01-16,100445,54850,45595,54947000,66368560,121315560,20297,7057,27354
2021-01-17,96828,51616,45212,49927577,55146833,105074410,20549,8085,28634
2021-01-18,109559,60330,49229,53978307,64683452,118661759,23337,9538,32875
2021-01-19,113771,63122,50649,62148022,77528659,139676681,24349,9662,34011
2021-01-20,110284,60970,49314,54736033,74540248,129276281,24478,8767,33245
2021-01-21,110628,61530,49098,57598067,75272573,132870640,22222,8610,30832
2021-01-22,110375,60545,49830,59682833,76741166,136423999,23016,9734,32750
2021-01-23,106238,59450,46788,56888622,71134663,128023285,22459,9417,31876
2021-01-24,97096,51701,45395,54532866,57184638,111717504,21881,8236,30117
2021-01-25,97296,54204,43092,58023051,63731381,121754432,24170,9341,33511
2021-01-26,74433,39323,35110,32772776,35676412,68449188,15305,4367,19672
2021-01-27,104376,56340,48036,62848448,68836028,131684476,26278,9496,35774
2021-01-28,109304,60043,49261,71289368,84213601,155502969,24507,9300,33807
2021-01-29,105376,58445,46931,58644599,69710437,128355036,23047,9357,32404
2021-01-30,114774,62237,52537,60796778,68290013,129086791,26381,10036,36417
2021-01-31,96810,50076,46734,52456572,48220250,100676822,22522,8246,30768
2021-02-01,116078,61666,54412,63686238,69081254,132767492,27527,10236,37763
2021-02-02,118770,65037,53733,69123715,80492145,149615860,27443,10650,38093
2021-02-03,118715,64462,54253,71174483,86471226,157645709,27808,10133,37941
2021-02-04,114989,62867,52122,64635949,85893353,150529302,23879,7767,31646
2021-02-05,122142,66160,55982,69219575,88804406,158023981,26199,10309,36508
2021-02-06,115621,62569,53052,59790451,80440032,140230483,24622,9646,34268
2021-02-07,100436,52222,48214,54739687,55857148,110596835,22820,8463,31283
2021-02-08,109963,60349,49614,65445466,79053131,144498597,26350,9938,36288
2021-02-09,112499,62981,49518,69558673,84959118,154517791,25499,10325,35824
2021-02-10,114897,64196,50701,64251874,83503188,147755062,25917,10696,36613
2021-02-11,118645,65345,53300,65441167,87073342,152514509,26172,9960,36132
2021-02-12,116353,63735,52618,62599829,84706706,147306535,26283,10111,36394
2021-02-13,114611,63272,51339,56999546,78582366,135581912,23942,10106,34048
2021-02-14,99911,51622,48289,50079050,60422295,110501345,21944,8690,30634
2021-02-15,110102,59738,50364,53966817,63935403,117902220,25396,9378,34774
2021-02-16,112327,61095,51232,58166840,76953900,135120740,24955,9260,34215
2021-02-17,115784,63667,52117,67381698,80283483,147665181,27038,9910,36948
2021-02-18,117933,65147,52786,62837574,84676433,147514007,25160,9959,35119
2021-02-19,119787,65415,54372,66278324,87122606,153400930,25780,10328,36108
2021-02-20,118470,65229,53241,62385263,79014675,141399938,26565,10172,36737
2021-02-21,101495,53338,48157,55349078,62600970,117950048,24547,8767,33314
2021-02-22,112743,61249,51494,65617772,82234135,147851907,26849,9896,36745
2021-02-23,117910,64320,53590,71600410,93520341,165120751,27790,10271,38061
2021-02-24,113540,62292,51248,68207984,91360882,159568866,27336,10305,37641
2021-02-25,113152,62018,51134,66910871,90246353,157157224,27150,10305,37455
2021-02-26,109067,59356,49711,60529276,70592523,131121799,25862,10037,35899
2021-02-27,108024,59111,48913,62593256,71140058,133733314,26540,9905,36445
2021-02-28,96880,51575,45305,55095714,59172982,114268696,24258,8989,33247
2021-03-01,113508,63997,49511,59569760,94792301,154362061,26019,9425,35444
2021-03-02,113174,63736,49438,62289329,105044611,167333940,24785,9472,34257
2021-03-03,118655,68257,50398,64433878,113857100,178290978,27290,10561,37851
2021-03-04,120980,68495,52485,65262150,116041622,181303772,25788,10203,35991
2021-03-05,118620,66920,51700,64640761,106898617,171539378,25685,9805,35490
2021-03-06,120326,68512,51814,65637331,106492991,172130322,26426,10659,37085
2021-03-07,105408,57201,48207,54223948,77119317,131343265,22936,9426,32362
2021-03-08,113649,64161,49488,61473852,89596176,151070028,25888,10652,36540
2021-03-09,119455,66383,53072,68816107,99877430,168693537,27426,10322,37748
2021-03-10,123743,67898,55845,67396099,96855506,164251605,27426,10523,37949
2021-03-11,108760,59449,49311,56841364,80562670,137404034,22460,8345,30805
2021-03-12,120241,64035,56206,68818585,90386445,159205030,27634,10276,37910
2021-03-13,127968,69171,58797,70711438,92989258,163700696,27346,10327,37673
2021-03-14,118738,60626,58112,65758857,74464068,140222925,26046,9324,35370
2021-03-15,120228,63273,56955,74358762,87094132,161452894,28672,10258,38930
2021-03-16,132054,68218,63836,86662329,92456088,179118417,25221,10068,35289
2021-03-17,126550,67967,58583,76425778,96170250,172596028,23845,9573,33418
2021-03-18,125787,67800,57987,74524173,97392713,171916886,22814,9481,32295
2021-03-19,118558,65744,52814,56937287,92544357,149481644,21735,9218,30953
2021-03-20,117246,66689,50557,57695071,86375062,144070133,18608,8536,27144
2021-03-21,115092,57905,57187,52425510,67318246,119743756,15574,7565,23139
2021-03-22,138077,69218,68859,75420913,79973579,155394492,21484,9939,31423
2021-03-23,124629,64057,60572,69449648,84498641,153948289,26306,10207,36513
2021-03-24,134742,69516,65226,69942513,86999645,156942158,28203,10902,39105
2021-03-25,130642,68291,62351,74472206,86245975,160718181,25333,11089,36422
2021-03-26,131191,64247,66944,76937096,74026897,150963993,28444,11000,39444
2021-03-27,134235,67133,67102,72886501,71339943,144226444,29716,9123,38839
2021-03-28,102682,44617,58065,63875990,39821444,103697434,20305,7301,27606
2021-03-29,93696,38794,54902,52147905,27351025,79498930,18299,5366,23665
2021-03-30,86904,46083,40821,33673119,38117130,71790249,13633,5819,19452
2021-03-31,97380,52702,44678,49602941,51190518,100793459,21511,9501,31012
2021-04-01,108334,56768,51566,73483542,65238819,138722361,26417,11424,37841
2021-04-02,114683,56648,58035,83062698,70070141,153132839,24469,11086,35555
2021-04-03,108608,54606,54002,70721460,72607482,143328942,28307,11543,39850
2021-04-04,88254,41498,46756,71229546,58458649,129688195,27226,10929,38155
2021-04-05,78118,40959,37159,62922970,64517604,127440574,29551,12022,41573
2021-04-06,77376,40175,37201,68915363,69787316,138702679,30361,12008,42369
2021-04-07,95187,48113,47074,81528393,78942787,160471180,35174,12816,47990
2021-04-08,137680,67199,70481,89493907,85705465,175199372,33699,13260,46959
2021-04-09,169868,78835,91033,92025423,81999784,174025207,36228,13852,50080
2021-04-10,170959,78541,92418,88644043,76587115,165231158,31932,13894,45826
2021-04-11,159586,66752,92834,85381901,54644190,140026091,30638,12302,42940
2021-04-12,162793,73548,89245,80966704,69758528,150725232,30636,12582,43218
2021-04-13,154115,69516,84599,78830646,67685644,146516290,29734,10994,40728
2021-04-14,139374,60931,78443,74253629,59980200,134233829,28058,10337,38395
2021-04-15,142617,64398,78219,77097939,69081031,146178970,22870,9284,32154
2021-04-16,135308,61155,74153,70413517,67868634,138282151,21397,8498,29895
2021-04-17,133407,59511,73896,66207625,64987445,131195070,20361,8029,28390
2021-04-18,111606,46983,64623,48050336,44330955,92381291,17882,5440,23322
2021-04-19,127569,57355,70214,59851911,58087389,117939300,9967,7796,17763
2021-04-20,128124,56486,71638,70737695,59313194,130050889,28794,8590,37384
2021-04-21,128201,57220,70981,67703268,56691403,124394671,29058,9424,38482
2021-04-22,126404,56413,69991,67672307,59427428,127099735,27960,9434,37394
2021-04-23,121181,53033,68148,66164967,52281410,118446377,27223,8811,36034
2021-04-24,109850,45706,64144,57345219,44044737,101389956,23402,6568,29970
2021-04-25,65895,25460,40435,49445236,31931457,81376693,23324,6477,29801
2021-04-26,110029,45788,64241,60675740,44390855,105066595,24704,7498,32202
2021-04-27,103327,43254,60073,58189250,45946569,104135819,22209,7073,29282
2021-04-28,104966,44069,60897,58120040,43895399,102015439,24388,7173,31561
2021-04-29,101920,42286,59634,57410128,39715787,97125915,21017,6682,27699
2021-04-30,100472,40808,59664,55419609,37031454,92451063,21777,7285,29062
2021-05-01,79938,31473,48465,53752420,34770988,88523408,23508,6598,30106
2021-05-02,50227,19714,30513,46220430,31468176,77688606,20137,6226,26363
2021-05-03,91412,37449,53963,50058004,38981187,89039191,19788,6363,26151
2021-05-04,108685,42870,65815,56879919,40232104,97112023,23338,7273,30611
2021-05-05,112851,45099,67752,63322293,48354101,111676394,25836,7909,33745
2021-05-06,99917,40422,59495,56997338,46971442,103968780,23935,8294,32229
2021-05-07,102892,39886,63006,59894142,40524316,100418458,23936,7955,31891
2021-05-08,100672,39747,60925,58626041,41013856,99639897,25069,8210,33279
2021-05-09,93628,36642,56986,54663367,31645355,86308722,23566,8319,31885
2021-05-10,71914,29629,42285,51189748,36840414,88030162,21199,7859,29058
2021-05-11,74138,30583,43555,44702541,41301431,86003972,20594,7940,28534
2021-05-12,75250,30882,44368,45022381,40861354,85883735,21276,7598,28874
2021-05-13,75176,31564,43612,43475068,47213773,90688841,20347,7645,27992
2021-05-14,88618,35301,53317,48208065,36002461,84210526,19964,7112,27076
2021-05-15,89778,36327,53451,51470775,37066557,88537332,23857,8522,32379
2021-05-16,77260,29246,48014,49769140,39849519,89618659,21870,7686,29556
2021-05-17,90398,36838,53560,56546970,44679738,101226708,24442,9378,33820
2021-05-18,91361,36616,54745,53245760,45595625,98841385,23132,8226,31358
2021-05-19,76594,32599,43995,38276671,46053161,84329832,15237,6037,21274
2021-05-20,82852,35929,46923,45464415,47671391,93135806,19450,7516,26966
2021-05-21,90662,38375,52287,48976655,49485766,98462421,21600,7845,29445
2021-05-22,87235,36096,51139,48717425,56130300,104847725,21343,6654,27997
2021-05-23,76138,31717,44421,48823160,39376748,88199908,23204,7754,30958
2021-05-24,71609,33021,38588,45408207,47639909,93048116,21741,7834,29575
2021-05-25,72102,33229,38873,46691391,48145736,94837127,21649,7709,29358
2021-05-26,74320,33963,40357,47484041,47442609,94926650,22846,8348,31194
2021-05-27,75982,34149,41833,47996402,52671925,100668327,20353,7429,27782
2021-05-28,77086,35781,41305,45540175,47582114,93122289,19522,8004,27526
2021-05-29,82793,36297,46496,51229365,52580754,103810119,24174,8910,33084
2021-05-30,76527,32266,44261,48246505,46163707,94410212,24502,8536,33038
2021-05-31,88131,37982,50149,54773136,47444512,102217648,26676,9057,35733
2021-06-01,90279,40181,50098,53000676,55396625,108397301,26462,9642,36104
2021-06-02,95396,42297,53099,60653582,69280726,129934308,29067,10441,39508
2021-06-03,97124,42721,54403,59052269,65243810,124296079,28484,10103,38587
2021-06-04,94741,42170,52571,54892447,63150513,118042960,27131,10252,37383
2021-06-05,89741,40128,49613,52310412,61048268,113358680,25843,9936,35779
2021-06-06,81603,35194,46409,47631431,45185314,92816745,24380,9030,33410
2021-06-07,104086,46241,57845,57493241,61437211,118930452,28046,11122,39168
2021-06-08,104525,46892,57633,61626332,69952492,131578824,27642,11274,38916
2021-06-09,106639,48626,58013,59936671,72140018,132076689,26725,11730,38455
2021-06-10,105945,47844,58101,56385355,61998550,118383905,26727,11731,38458
2021-06-11,103786,48992,54794,54173419,63717034,117890453,24962,11995,36957
2021-06-12,101745,46188,55557,53417475,64178056,117595531,25068,11547,36615
2021-06-13,97502,42736,54766,53516949,47478860,100995809,25485,11505,36990
2021-06-14,104365,49348,55017,57653999,63035569,120689568,28378,13384,41762
2021-06-15,108479,51219,57260,62662925,72243605,134906530,28607,13740,42347
2021-06-16,111783,51932,59851,63326306,72618560,135944866,30056,13873,43929
2021-06-17,116921,54926,61995,62874950,67357706,130232656,29835,13373,43208
2021-06-18,140453,61926,78527,67008453,71014105,138022558,29813,12724,42537
2021-06-19,145290,63072,82218,65958961,67395269,133354230,28624,12952,41576
2021-06-20,142855,57688,85167,66852182,154857962,221710144,30664,13279,43943
2021-06-21,144783,63362,81421,76820279,69145474,145965753,36175,14608,50783
2021-06-22,144173,64825,79348,76569243,73427760,149997003,34628,14396,49024
2021-06-23,141048,64682,76366,74446413,77072435,151518848,32845,14032,46877
2021-06-24,142984,65662,77322,72403742,74344945,146748687,32092,13877,45969
2021-06-25,141548,65062,76486,70259685,77215605,147475290,30378,13106,43484
2021-06-26,133524,60850,72674,64580430,70163572,134744002,29706,12306,42012
2021-06-27,125887,53754,72133,64595015,54249040,118844055,29480,12252,41732
2021-06-28,145237,66350,78887,71872701,65847667,137720368,34715,14395,49110
2021-06-29,141911,66623,75288,72285567,68587355,140872922,31880,13838,45718
2021-06-30,135669,63898,71771,71682221,69347851,141030072,31504,13775,45279
2021-07-01,139752,66447,73305,71096417,75225530,146321947,31117,14144,45261
2021-07-02,141184,68030,73154,64676341,74256222,138932563,27109,13177,40286
2021-07-03,142143,68630,73513,61733999,71906955,133640954,27752,14060,41812
2021-07-04,132989,58896,74093,62354102,58143758,120497860,28104,13080,41184
2021-07-05,141111,67705,73406,72372874,69699211,142072085,33193,14542,47735
2021-07-06,138236,68252,69984,71460118,101407688,172867806,33207,14651,47858
2021-07-07,137263,69063,68200,75275160,78209366,153484526,33412,15009,48421
2021-07-08,136323,66304,70019,69041317,78200198,147241515,29249,12996,42245
2021-07-09,148716,72301,76415,73959758,78644538,152604296,31740,14618,46358
2021-07-10,141609,69484,72125,66209373,72185009,138394382,27931,13369,41300
2021-07-11,130879,60080,70799,62328701,57283902,119612603,28755,13093,41848
2021-07-12,144533,69449,75084,70162218,68656930,138819148,32519,15711,48230
2021-07-13,142102,67760,74342,67397280,113769361,181166641,30608,13191,43799
2021-07-14,134291,66834,67457,59424683,77018754,136443437,25726,11255,36981
2021-07-15,134029,67077,66952,62775072,74697408,137472480,27452,12523,39975
2021-07-16,139022,69202,69820,65080143,69356289,134436432,29590,13733,43323
2021-07-17,138367,68483,69884,64611042,71973302,136584344,28562,13018,41580
2021-07-18,128428,59461,68967,55254326,52928324,108182650,25511,11777,37288
2021-07-19,133589,65024,68565,50104065,59555850,109659915,24310,11048,35358
2021-07-20,135870,67320,68550,58505299,66574635,125079934,25676,11763,37439
2021-07-21,129693,63405,66288,57653031,57955206,115608237,26058,12048,38106
2021-07-22,138703,68712,69991,65328216,70497851,135826067,28911,13608,42519
2021-07-23,145771,71014,74757,68211788,69389752,137601540,30768,14130,44898
2021-07-24,141796,68986,72810,70015269,68961435,138976704,30166,13878,44044
2021-07-25,135399,61939,73460,67146396,57288607,124435003,31197,13910,45107
2021-07-26,142439,68358,74081,69830776,67775301,137606077,29670,13503,43173
2021-07-27,140113,68191,71922,62216347,67719257,129935604,28069,12595,40664
2021-07-28,128744,62676,66068,54688836,67518869,122207705,23074,9741,32815
2021-07-29,137000,68006,68994,61334030,67276752,128610782,25866,12168,38034
2021-07-30,127752,64669,63083,62888929,67479916,130368845,26904,12729,39633
2021-07-31,128358,64548,63810,63489670,65791153,129280823,26510,13250,39760
2021-08-01,112785,54369,58416,51198631,55083031,106281662,23250,11049,34299
2021-08-02,128388,64691,63697,63390458,67982309,131372767,29460,13832,43292
2021-08-03,133165,68215,64950,72008797,83010377,155019174,30519,14226,44745
2021-08-04,137367,70159,67208,74020504,86016513,160037017,31588,14176,45764
2021-08-05,132420,67830,64590,73361468,86872244,160233712,30585,13996,44581
2021-08-06,127128,65204,61924,67234766,80122671,147357437,28796,13381,42177
2021-08-07,129728,66414,63314,63596434,80995752,144592186,27222,13398,40620
2021-08-08,116573,55941,60632,56048534,58033513,114082047,24557,11352,35909
2021-08-09,131207,65564,65643,64886847,72580674,137467521,29530,12726,42256
2021-08-10,141347,70051,71296,70220265,78150661,148370926,29626,13377,43003
2021-08-11,130214,65771,64443,65585947,79401566,144987513,27682,11942,39624
2021-08-12,136802,68484,68318,92759964,80688423,173448387,29708,13677,43385
2021-08-13,125877,62874,63003,63089759,71545535,134635294,26442,11840,38282
2021-08-14,130849,64393,66456,65493746,70788589,136282335,29810,13779,43589
2021-08-15,89426,36703,52723,41228385,33503833,74732218,19055,6137,25192
2021-08-16,140131,65567,74564,71083451,71007672,142091123,31414,10750,42164
2021-08-17,135231,64080,71151,74116358,76430184,150546542,32702,10905,43607
2021-08-18,138978,65662,73316,71486932,76429032,147915964,31912,11253,43165
2021-08-19,130892,61799,69093,71515569,72794175,144309744,31460,10866,42326
2021-08-20,117209,56001,61208,60136667,63014232,123150899,26921,9279,36200
2021-08-21,114655,52395,62260,55760212,59008091,114768303,27013,9414,36427
2021-08-22,106507,43422,63085,46549609,34768973,81318582,24373,8203,32576
2021-08-23,123736,57188,66548,62372564,52074493,114447057,24399,8370,32769
2021-08-24,116264,57209,59055,63352866,69347889,132700755,29253,9971,39224
2021-08-25,118942,59497,59445,69869370,77662433,147531803,28977,9851,38828
2021-08-26,123674,60363,63311,71879905,75537979,147417884,31237,10691,41928
2021-08-27,123195,59020,64175,66754081,72654607,139408688,31390,10433,41823
2021-08-28,127901,61038,66863,67086550,70096985,137183535,29837,10345,40182
2021-08-29,119501,51919,67582,62903305,52320153,115223458,29310,9639,38949
2021-08-30,129560,60223,69337,57854956,50439765,108294721,27607,9113,36720
2021-08-31,126371,60080,66291,57166926,54968535,112135461,28056,8915,36971
2021-09-01,118888,59055,59833,60589527,69478642,130068169,27528,9103,36631
2021-09-02,123850,61494,62356,67586469,74492963,142079432,30347,10735,41082
2021-09-03,127531,62037,65494,69330945,73233021,142563966,29921,10609,40530
2021-09-04,127428,61918,65510,70091156,76354556,146445712,31198,10991,42189
2021-09-05,112924,51040,61884,62583877,57748206,120332083,29258,10057,39315
2021-09-06,126568,60637,65931,71132460,73502244,144634704,33030,11597,44627
2021-09-07,121200,58076,63124,68655546,71800128,140455674,29698,10546,40244
2021-09-08,125936,61503,64433,74103850,79480955,153584805,32723,11334,44057
2021-09-09,114436,56799,57637,70404426,75460336,145864762,30282,10056,40338
2021-09-10,100303,49900,50403,62800292,64859540,127659832,30948,10663,41611
2021-09-11,93124,47302,45822,41829604,55422011,97251615,21570,7102,28672
2021-09-12,85858,40493,45365,48459829,47039728,95499557,23205,7712,30917
2021-09-13,114015,54220,59795,60208941,62269573,122478514,29248,9486,38734
2021-09-14,114847,56021,58826,63135374,66054384,129189758,28969,9676,38645
2021-09-15,113898,56533,57365,63668161,73867797,137535958,28557,9329,37886
2021-09-16,98155,49579,48576,54187147,64047741,118234888,22820,7499,30319
2021-09-17,113806,56231,57575,62036881,61893993,123930874,28944,10021,38965
2021-09-18,127370,62762,64608,71940406,72639498,144579904,31098,10846,41944
2021-09-19,110671,50955,59716,60805456,54867449,115672905,27042,9316,36358
2021-09-20,124001,58950,65051,76963296,70652526,147615822,31899,9877,41776
2021-09-21,120851,58997,61854,69411559,72793949,142205508,28022,8776,36798
2021-09-22,120948,59074,61874,70096352,76026546,146122898,28408,9476,37884
2021-09-23,131173,62458,68715,73976259,74432303,148408562,31662,10035,41697
2021-09-24,128794,63402,65392,68170920,68061694,136232614,29564,10073,39637
2021-09-25,132823,64047,68776,74554314,69684411,144238725,30916,11169,42085
2021-09-26,120965,52987,67978,68826744,57405228,126231972,30970,10773,41743
2021-09-27,115276,50614,64662,70403495,1010541332,1080944827,31031,10341,41372
2021-09-28,131177,62130,69047,73334097,67543528,140877625,30695,10576,41271
2021-09-29,132316,63833,68483,74791241,66637700,141428941,31765,10870,42635
2021-09-30,128369,61471,66898,75450323,67931396,143381719,30965,10907,41872
2021-10-01,107991,53157,54834,61752841,65494158,127246999,26851,9414,36265
2021-10-02,117016,57895,59121,60319189,63783087,124102276,27999,10244,38243
2021-10-03,115797,54418,61379,59644648,58799526,118444174,27339,9878,37217
2021-10-04,121841,59779,62062,66958815,68702929,135661744,29347,10123,39470
2021-10-05,113989,55862,58127,68587648,76055924,144643572,28741,9940,38681
2021-10-06,120642,60543,60099,68701235,79880975,148582210,28031,9859,37890
2021-10-07,116374,59129,57245,70542742,77944234,148486976,28109,9825,37934
2021-10-08,81256,40321,40935,51176283,60714874,111891157,22575,7757,30332
2021-10-09,113543,58042,55501,69309663,77387388,146697051,29112,10072,39184
2021-10-10,102398,49482,52916,54777513,56246844,111024357,25197,8385,33582
2021-10-11,114325,56088,58237,72406315,66191752,138598067,29667,10426,40093
2021-10-12,100366,51293,49073,66308123,70345154,136653277,28853,9757,38610
2021-10-13,112817,57579,55238,71137364,71137293,142274657,28786,9870,38656
2021-10-14,102559,50662,51897,63515405,59543167,123058572,26134,9240,35374
2021-10-15,103629,49502,54127,58565645,47914029,106479674,24452,8875,33327
2021-10-16,106404,52218,54186,62856230,53269042,116125272,25729,9354,35083
2021-10-17,102164,47524,54640,50497481,51534580,102032061,23030,7707,30737
2021-10-18,109370,54768,54602,60423765,61148954,121572719,24002,8539,32541
2021-10-19,115771,57813,57958,64295692,64807064,129102756,17229,9135,26364
2021-10-20,114528,57702,56826,71356667,69276132,140632799,27187,9253,36440
2021-10-21,119047,58572,60475,74962594,72341421,147304015,29597,9591,39188
2021-10-22,115657,58535,57122,78458991,75152599,153611590,27866,9287,37153
2021-10-23,117272,58272,59000,79152489,72436582,151589071,27967,9644,37611
2021-10-24,95024,44580,50444,52180770,46965014,99145784,20614,7015,27629
2021-10-25,113387,56116,57271,68079322,59922156,128001478,24332,8353,32685
2021-10-26,113807,58986,54821,73787247,74161956,147949203,26257,9145,35402
2021-10-27,108578,55540,53038,72758227,71548896,144307123,27346,9621,36967
2021-10-28,106796,54199,52597,75665546,69721069,145386615,26471,8926,35397
2021-10-29,111053,56368,54685,73096195,74371373,147467568,28357,9772,38129
2021-10-30,115659,57951,57708,75668001,74523662,150191663,30604,10684,41288
2021-10-31,103071,49806,53265,61038408,52748887,113787295,27181,9463,36644
2021-11-01,110529,53784,56745,69899831,67994426,137894257,30212,10437,40649
2021-11-02,117953,55661,62292,76212801,69814601,146027402,33125,11366,44491
2021-11-03,101670,46986,54684,65731733,49464448,115196181,29046,9806,38852
2021-11-04,67907,28766,39141,44240538,26657101,70897639,22105,6632,28737
2021-11-05,105421,46507,58914,53408275,41240041,94648316,23806,8076,31882
2021-11-06,121978,56804,65174,65562125,46412854,111974979,30327,10732,41059
2021-11-07,110846,49778,61068,69129641,45839226,114968867,32877,10751,43628
2021-11-08,113259,53088,60171,83055678,66323757,149379435,37496,12248,49744
2021-11-09,116683,55506,61177,84192388,74395662,158588050,37516,11834,49350
2021-11-10,112401,54355,58046,78049044,79372428,157421472,34365,10904,45269
2021-11-11,111057,53282,57775,79460146,77594762,157054908,35469,10900,46369
2021-11-12,118475,57520,60955,80112135,89360657,169472792,36365,11082,47447
2021-11-13,122277,61024,61253,81819297,81691483,163510780,35796,11714,47510
2021-11-14,116390,53655,62735,73838805,64908782,138747587,34886,11038,45924
2021-11-15,125286,58652,66634,89836946,76045575,165882521,37538,11536,49074
2021-11-16,127546,61347,66199,89969698,87136029,177105727,35957,11463,47420
2021-11-17,125039,61948,63091,94841382,90074220,184915602,33963,11115,45078
2021-11-18,117539,56539,61000,103879183,87502761,191381944,36130,11431,47561
2021-11-19,118476,56253,62223,89405388,77190141,166595529,33427,9987,43414
2021-11-20,134746,63711,71035,100925267,80343979,181269246,36617,11264,47881
2021-11-21,122060,55419,66641,88950649,65396018,154346667,34761,10846,45607
2021-11-22,124568,58607,65961,99735411,74971850,174707261,29907,9704,39611
2021-11-23,133096,62254,70842,103807932,85256898,189064830,29053,9352,38405
2021-11-24,128904,62579,66325,93543171,85806312,179349483,26736,9079,35815
2021-11-25,120000,59222,60778,81726858,77510748,159237606,24734,8885,33619
2021-11-26,116347,57169,59178,76009052,76029797,152038849,24811,8392,33203
2021-11-27,135568,60716,74852,99177048,148966236,248143284,26504,8834,35338
2021-11-28,122567,52376,70191,86074420,55778196,141852616,24230,7722,31952
2021-11-29,132952,58454,74498,90945451,62269969,153215420,26547,8598,35145
2021-11-30,133537,60153,73384,90210804,64028858,154239662,24743,8184,32927
2021-12-01,131056,63226,67830,85814209,78513840,164328049,20810,7544,28354
2021-12-02,125969,59806,66163,85297586,80922081,166219667,19700,6900,26600
2021-12-03,130466,61719,68747,87677373,82171585,169848958,20521,7255,27776
2021-12-04,128411,61088,67323,87248657,85418458,172667115,17465,6847,24312
2021-12-05,117851,53269,64582,76975884,60218114,137193998,15840,6422,22262
2021-12-06,124082,59675,64407,88439447,71846411,160285858,20108,7476,27584
2021-12-07,125779,60719,65060,90151385,82097005,172248390,21273,7600,28873
2021-12-08,125986,62247,63739,92410406,87836585,180246991,22889,8353,31242
2021-12-09,125931,60040,65891,93914894,82511769,176426663,21036,7655,28691
2021-12-10,121596,57855,63741,89785767,75753433,165539200,22411,7539,29950
2021-12-11,119278,59352,59926,75027145,74557464,149584609,16630,6272,22902
2021-12-12,116094,51084,65010,78118495,56049971,134168466,16585,6449,23034
2021-12-13,121697,58319,63378,88429704,70205313,158635017,20364,7246,27610
2021-12-14,125529,59157,66372,94953358,77747870,172701228,20386,7437,27823
2021-12-15,134256,64158,70098,102992034,86348933,189340967,21727,7706,29433
2021-12-16,134670,62521,72149,103490949,82553625,186044574,21016,7211,28227
2021-12-17,128851,61330,67521,93156236,82157195,175313431,21209,7549,28758
2021-12-18,132252,60593,71659,97638983,80354531,177993514,19959,7195,27154
2021-12-19,124333,52185,72148,82745914,56922872,139668786,18135,6192,24327
2021-12-20,133481,61833,71648,89765733,71346693,161112426,21425,7561,28986
